Movement Activity,Fall Detected (Yes/No),Location,Hour,Day_of_Week
No Movement,No,Kitchen,16,1
Lying,No,Living Room,15,0
No Movement,No,Bedroom,2,3
Lying,No,Kitchen,22,2
No Movement,No,Bedroom,16,4
Sitting,No,Bedroom,12,6
Lying,No,Bathroom,10,5
Lying,No,Bedroom,7,1
Sitting,No,Kitchen,23,4
Sitting,No,Kitchen,16,5
Walking,No,Bedroom,7,0
Sitting,No,Bathroom,6,3
No Movement,No,Kitchen,22,2
Walking,No,Living Room,10,4
Walking,No,Bedroom,1,2
Sitting,No,Bedroom,2,3
Walking,No,Living Room,10,0
Sitting,No,Bathroom,12,5
No Movement,No,Living Room,8,0
Sitting,No,Living Room,21,5
Walking,No,Bathroom,16,2
Walking,No,Living Room,17,0
No Movement,Yes,Bathroom,19,6
Lying,No,Kitchen,20,2
No Movement,No,Bedroom,7,5
No Movement,No,Bedroom,2,3
Lying,No,Living Room,17,1
No Movement,No,Bathroom,2,1
No Movement,Yes,Kitchen,22,4
Sitting,No,Bathroom,11,5
No Movement,No,Living Room,16,3
Walking,No,Bedroom,20,6
Walking,No,Living Room,12,2
No Movement,No,Bathroom,15,4
No Movement,No,Bedroom,14,4
Lying,No,Bedroom,18,6
Lying,No,Kitchen,13,4
Walking,No,Living Room,4,4
Walking,No,Bathroom,3,0
Lying,No,Bedroom,1,3
Sitting,No,Bathroom,23,2
Sitting,No,Living Room,19,5
Sitting,No,Bathroom,18,3
No Movement,No,Living Room,3,5
Lying,No,Bathroom,5,2
Lying,No,Bedroom,21,1
Lying,No,Living Room,17,6
Lying,No,Bathroom,3,1
Walking,No,Living Room,7,0
Sitting,No,Living Room,20,0
Sitting,No,Bedroom,23,5
Walking,No,Bedroom,7,4
Lying,No,Living Room,11,0
Walking,No,Bedroom,17,1
No Movement,No,Bedroom,7,1
No Movement,No,Bedroom,13,4
No Movement,No,Bathroom,20,2
No Movement,No,Living Room,6,4
Lying,No,Bedroom,18,2
Walking,No,Kitchen,12,3
Walking,No,Living Room,6,2
No Movement,No,Living Room,12,3
Walking,No,Kitchen,3,5
Sitting,No,Living Room,15,2
Walking,No,Living Room,3,2
No Movement,No,Kitchen,20,0
Sitting,No,Kitchen,11,2
Sitting,No,Living Room,22,1
Sitting,No,Kitchen,14,6
Sitting,No,Kitchen,8,4
No Movement,No,Kitchen,12,1
No Movement,Yes,Bathroom,17,6
Walking,No,Bedroom,21,0
Walking,No,Living Room,6,5
Walking,No,Bathroom,16,3
Sitting,No,Living Room,19,2
Walking,No,Bathroom,21,0
Walking,No,Kitchen,22,5
Sitting,No,Living Room,18,1
No Movement,Yes,Kitchen,5,5
Walking,No,Bathroom,14,0
Sitting,No,Kitchen,22,1
Lying,No,Bathroom,2,6
No Movement,No,Bathroom,1,6
Sitting,No,Bathroom,20,6
Lying,No,Kitchen,10,6
Lying,No,Kitchen,10,6
Walking,No,Bedroom,7,4
Lying,No,Bathroom,11,5
No Movement,No,Bathroom,7,2
Lying,No,Living Room,16,4
Sitting,No,Bedroom,10,5
Lying,No,Bathroom,0,2
Sitting,No,Bathroom,8,0
Sitting,No,Kitchen,18,0
Sitting,No,Bedroom,3,1
No Movement,No,Kitchen,10,5
Lying,No,Living Room,16,6
No Movement,No,Living Room,12,3
Sitting,No,Kitchen,21,4
Sitting,No,Living Room,6,4
Lying,No,Bedroom,20,3
Sitting,No,Bedroom,4,1
Sitting,No,Kitchen,19,2
Walking,No,Living Room,3,5
Sitting,No,Bedroom,18,0
Walking,No,Kitchen,4,5
Lying,No,Living Room,17,0
No Movement,No,Bathroom,5,5
Sitting,No,Kitchen,0,3
Lying,No,Kitchen,10,5
Sitting,No,Bathroom,10,4
No Movement,Yes,Bathroom,10,3
Sitting,No,Living Room,9,2
No Movement,No,Living Room,13,3
Sitting,No,Living Room,8,5
Lying,No,Bedroom,6,5
No Movement,No,Bedroom,3,2
Walking,No,Kitchen,5,2
Walking,No,Bathroom,3,0
Lying,No,Bedroom,7,1
Lying,No,Bedroom,0,0
No Movement,No,Kitchen,9,6
No Movement,No,Living Room,0,2
Lying,No,Living Room,16,5
Lying,No,Bedroom,21,3
Lying,No,Bedroom,23,0
Lying,No,Bedroom,23,2
Lying,No,Bathroom,13,6
Lying,No,Bathroom,16,3
Lying,No,Bedroom,3,0
Sitting,No,Bathroom,2,1
No Movement,Yes,Bedroom,19,3
Sitting,No,Bedroom,4,0
Sitting,No,Bedroom,3,5
Sitting,No,Kitchen,2,4
Lying,No,Bathroom,1,4
Walking,No,Kitchen,11,6
No Movement,No,Bathroom,9,0
Sitting,No,Kitchen,4,2
Walking,No,Living Room,15,1
Walking,No,Living Room,11,5
Lying,No,Living Room,7,0
Sitting,No,Bathroom,17,6
Lying,No,Living Room,8,1
Lying,No,Bedroom,11,2
Lying,No,Bathroom,8,5
Walking,No,Bathroom,0,3
No Movement,No,Bathroom,15,6
Lying,No,Bathroom,15,4
Walking,No,Living Room,13,2
Lying,No,Bathroom,22,2
No Movement,No,Living Room,9,0
Lying,No,Bedroom,8,4
Sitting,No,Bathroom,5,6
No Movement,Yes,Living Room,21,5
Walking,No,Living Room,22,6
Sitting,No,Bathroom,17,4
Walking,No,Living Room,5,2
No Movement,No,Bathroom,23,5
Sitting,No,Bedroom,17,6
Walking,No,Bedroom,15,5
Lying,No,Living Room,22,6
Sitting,No,Living Room,5,6
No Movement,No,Kitchen,2,3
No Movement,Yes,Kitchen,5,1
Lying,No,Living Room,19,4
Walking,No,Bathroom,12,0
No Movement,No,Kitchen,0,0
Walking,No,Kitchen,23,4
No Movement,No,Kitchen,2,2
No Movement,No,Living Room,18,6
Sitting,No,Bedroom,4,0
Walking,No,Bathroom,17,1
Sitting,No,Living Room,8,1
Walking,No,Bathroom,12,5
Sitting,No,Living Room,6,6
Lying,No,Living Room,13,6
Walking,No,Bedroom,8,0
Lying,No,Living Room,8,0
Sitting,No,Bedroom,15,1
No Movement,No,Bedroom,9,5
No Movement,No,Bedroom,4,2
Lying,No,Bedroom,18,2
Walking,No,Living Room,4,3
Walking,No,Bathroom,14,6
Walking,No,Bathroom,17,4
Walking,No,Bedroom,10,1
Lying,No,Bathroom,17,5
Sitting,No,Living Room,1,3
No Movement,No,Bathroom,6,3
Sitting,No,Bathroom,20,2
No Movement,Yes,Bathroom,16,4
No Movement,No,Kitchen,12,0
Walking,No,Bedroom,14,1
Lying,No,Living Room,6,1
No Movement,Yes,Kitchen,19,2
Lying,No,Kitchen,4,5
Walking,No,Bedroom,23,4
No Movement,No,Kitchen,3,3
Lying,No,Living Room,5,0
No Movement,Yes,Bedroom,11,6
No Movement,No,Bedroom,3,4
Sitting,No,Bedroom,9,4
Walking,No,Kitchen,3,4
Sitting,No,Bedroom,9,2
Sitting,No,Bedroom,5,1
Lying,No,Bathroom,0,5
Sitting,No,Bathroom,16,2
Walking,No,Living Room,20,6
Walking,No,Bedroom,9,2
No Movement,No,Bedroom,4,2
Sitting,No,Bathroom,11,5
Lying,No,Kitchen,6,0
Sitting,No,Living Room,7,6
Sitting,No,Living Room,5,1
No Movement,No,Kitchen,11,3
No Movement,No,Kitchen,10,6
No Movement,No,Living Room,10,4
No Movement,No,Living Room,19,1
Walking,No,Bathroom,10,1
Lying,No,Living Room,15,4
Walking,No,Kitchen,0,5
Walking,No,Bedroom,8,2
Sitting,No,Bathroom,3,6
Lying,No,Bedroom,22,1
No Movement,No,Kitchen,6,3
No Movement,No,Living Room,10,5
Lying,No,Bathroom,0,3
Walking,No,Bedroom,7,3
Sitting,No,Living Room,2,3
No Movement,No,Living Room,7,1
No Movement,No,Bedroom,5,0
Sitting,No,Bedroom,21,6
Walking,No,Living Room,22,5
Walking,No,Bedroom,13,2
Lying,No,Kitchen,20,0
Lying,No,Living Room,4,6
Lying,No,Living Room,2,4
Sitting,No,Living Room,7,3
Sitting,No,Kitchen,19,4
Walking,No,Bathroom,2,1
Walking,No,Bathroom,3,0
Lying,No,Kitchen,19,2
Sitting,No,Kitchen,10,3
No Movement,No,Bathroom,17,5
Sitting,No,Kitchen,20,4
Lying,No,Kitchen,10,1
No Movement,No,Bedroom,23,2
No Movement,No,Bedroom,17,1
Lying,No,Bedroom,21,4
Sitting,No,Bathroom,11,3
Walking,No,Bathroom,0,0
Walking,No,Bedroom,19,2
Lying,No,Bathroom,13,5
No Movement,Yes,Living Room,5,6
Walking,No,Bedroom,21,2
No Movement,No,Bedroom,2,6
Sitting,No,Bathroom,12,0
No Movement,No,Bedroom,23,5
No Movement,No,Bathroom,5,4
Lying,No,Bathroom,14,5
No Movement,No,Bedroom,11,4
Lying,No,Kitchen,15,2
Sitting,No,Bathroom,3,5
No Movement,No,Living Room,7,2
Sitting,No,Bathroom,8,3
Walking,No,Bathroom,21,2
No Movement,No,Living Room,11,0
Lying,No,Kitchen,21,5
Walking,No,Kitchen,15,5
Lying,No,Bathroom,21,5
Walking,No,Bathroom,22,3
Walking,No,Living Room,22,2
Sitting,No,Kitchen,4,3
Lying,No,Living Room,5,3
Sitting,No,Bathroom,16,1
No Movement,No,Living Room,4,4
Sitting,No,Bathroom,3,2
Walking,No,Kitchen,5,6
Lying,No,Bedroom,18,6
No Movement,No,Kitchen,12,6
Sitting,No,Kitchen,21,3
Walking,No,Living Room,4,3
Sitting,No,Bathroom,9,0
No Movement,No,Bedroom,10,6
No Movement,Yes,Kitchen,14,2
No Movement,No,Kitchen,21,4
Lying,No,Bedroom,18,2
Walking,No,Bedroom,7,3
Lying,No,Bedroom,10,4
No Movement,No,Living Room,20,5
Sitting,No,Living Room,10,3
Walking,No,Bedroom,6,0
No Movement,No,Kitchen,18,5
Sitting,No,Living Room,16,1
Lying,No,Bedroom,2,5
Walking,No,Bathroom,16,2
Lying,No,Bathroom,17,2
Walking,No,Bathroom,9,5
Sitting,No,Kitchen,1,3
Walking,No,Kitchen,3,3
Walking,No,Kitchen,20,0
Lying,No,Bedroom,5,2
Lying,No,Living Room,0,6
Lying,No,Bedroom,8,4
No Movement,No,Kitchen,17,2
Sitting,No,Living Room,14,1
Walking,No,Bathroom,21,2
Walking,No,Kitchen,1,0
Walking,No,Kitchen,10,6
Lying,No,Bedroom,12,1
No Movement,No,Kitchen,9,1
No Movement,No,Living Room,2,2
Walking,No,Bathroom,20,5
Walking,No,Living Room,12,6
Sitting,No,Kitchen,0,3
Lying,No,Living Room,20,1
Sitting,No,Living Room,9,6
Sitting,No,Kitchen,15,3
Sitting,No,Bathroom,18,2
No Movement,No,Kitchen,0,3
Walking,No,Kitchen,11,6
Sitting,No,Bathroom,13,6
No Movement,No,Bedroom,10,0
Walking,No,Kitchen,11,3
Lying,No,Bathroom,22,5
Lying,No,Bathroom,1,6
No Movement,No,Living Room,1,0
Sitting,No,Bathroom,17,2
No Movement,No,Living Room,11,3
Lying,No,Living Room,10,1
