Accuracy,Precision,Recall,F1,AUC,Fold,Model
0.5875,0.0844062947067239,0.7468354430379747,0.15167095115681234,0.6288209788696643,1,Logistic Regression
0.5825,0.09166666666666666,0.825,0.165,0.6367639802631578,2,Logistic Regression
0.60125,0.08970588235294118,0.7625,0.16052631578947368,0.6331373355263158,3,Logistic Regression
0.594375,0.07473841554559044,0.625,0.13351134846461948,0.6328495065789473,4,Logistic Regression
0.604375,0.08915304606240713,0.75,0.1593625498007968,0.6360567434210526,5,Logistic Regression
0.875625,0.20297029702970298,0.5189873417721519,0.2918149466192171,0.752536222838073,1,Decision Tree
0.87,0.20909090909090908,0.575,0.30666666666666664,0.77125,2,Decision Tree
0.868125,0.18048780487804877,0.4625,0.2596491228070175,0.7302919407894737,3,Decision Tree
0.878125,0.2300469483568075,0.6125,0.33447098976109213,0.7592228618421052,4,Decision Tree
0.868125,0.1895734597156398,0.5,0.27491408934707906,0.7248314144736843,5,Decision Tree
0.803125,0.20050761421319796,1.0,0.33403805496828753,0.8933954177381637,1,Naive Bayes
0.795625,0.19656019656019655,1.0,0.32854209445585214,0.8993873355263157,2,Naive Bayes
0.80875,0.20725388601036268,1.0,0.34334763948497854,0.8875452302631579,3,Naive Bayes
0.795625,0.19656019656019655,1.0,0.32854209445585214,0.8902590460526315,4,Naive Bayes
0.79875,0.19900497512437812,1.0,0.33195020746887965,0.895982730263158,5,Naive Bayes
0.873125,0.20754716981132076,0.5569620253164557,0.3024054982817869,0.8824557461363693,1,Random Forest
0.86625,0.20614035087719298,0.5875,0.3051948051948052,0.8778947368421051,2,Random Forest
0.866875,0.1848341232227488,0.4875,0.26804123711340205,0.8829851973684211,3,Random Forest
0.87625,0.22685185185185186,0.6125,0.3310810810810811,0.8774835526315788,4,Random Forest
0.864375,0.1872146118721461,0.5125,0.27424749163879597,0.8563733552631578,5,Random Forest
0.81125,0.20266666666666666,0.9620253164556962,0.33480176211453744,0.8926880217045747,1,Gradient Boosting
0.80625,0.20207253886010362,0.975,0.33476394849785407,0.8995970394736841,2,Gradient Boosting
0.81625,0.20441988950276244,0.925,0.334841628959276,0.8845106907894736,3,Gradient Boosting
0.805625,0.19363395225464192,0.9125,0.31947483588621445,0.8856291118421054,4,Gradient Boosting
0.810625,0.20266666666666666,0.95,0.33406593406593404,0.8814761513157895,5,Gradient Boosting
